Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
13.01.1994;10:00:00;---;Ungeprüft
13.01.1994;16:00:00;---;Ungeprüft
13.01.1994;22:00:00;---;Ungeprüft
14.01.1994;07:00:00;---;Ungeprüft
14.01.1994;10:00:00;---;Ungeprüft
14.01.1994;16:00:00;---;Ungeprüft
14.01.1994;22:00:00;---;Ungeprüft
15.01.1994;07:00:00;---;Ungeprüft
15.01.1994;10:00:00;---;Ungeprüft
15.01.1994;16:00:00;---;Ungeprüft
15.01.1994;22:00:00;---;Ungeprüft
16.01.1994;07:00:00;---;Ungeprüft
16.01.1994;10:00:00;---;Ungeprüft
16.01.1994;16:00:00;---;Ungeprüft
16.01.1994;22:00:00;---;Ungeprüft
17.01.1994;07:00:00;---;Ungeprüft
17.01.1994;10:00:00;---;Ungeprüft
17.01.1994;16:00:00;---;Ungeprüft
17.01.1994;22:00:00;---;Ungeprüft
18.01.1994;07:00:00;---;Ungeprüft
18.01.1994;10:00:00;---;Ungeprüft
18.01.1994;16:00:00;---;Ungeprüft
18.01.1994;22:00:00;---;Ungeprüft
19.01.1994;07:00:00;---;Ungeprüft
19.01.1994;10:00:00;---;Ungeprüft
19.01.1994;16:00:00;---;Ungeprüft
19.01.1994;22:00:00;---;Ungeprüft
20.01.1994;07:00:00;---;Ungeprüft
20.01.1994;10:00:00;---;Ungeprüft
20.01.1994;16:00:00;---;Ungeprüft
20.01.1994;22:00:00;---;Ungeprüft
21.01.1994;07:00:00;---;Ungeprüft
21.01.1994;10:00:00;---;Ungeprüft
